Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry
01/08/2023,0,41,38,186,120,100,96,29,3,13,2,8,35,na,36,68,20,1,95,28,63,140,40,84,36,114,23,32,21,96,11,undefined,na,na,103,42,15,undefined,18,24,0,11,8,114,211,8,117,44,63,13,29,36,17,55,31,19,78,101,na,50,317,130,72,0,52,68,52,3,2,3,0,31,0,3,7,19,6,115,140,0,4,10,10,34,23,14,0
01/08/2023,1,18,19,147,46,45,36,2,2,11,2,0,12,na,23,46,7,0,47,12,49,52,7,42,25,91,6,19,9,47,3,undefined,na,na,61,30,13,undefined,6,22,0,11,7,82,90,4,68,8,48,12,22,24,14,42,11,3,42,65,na,25,197,92,28,0,12,46,22,1,4,4,0,23,0,2,0,12,1,50,52,1,4,4,14,16,6,17,0
01/08/2023,2,10,22,86,35,26,16,0,0,3,0,0,13,na,9,33,6,0,24,2,33,50,14,21,11,40,5,16,9,13,11,undefined,na,na,19,2,4,undefined,1,6,0,3,2,26,49,2,43,9,40,1,9,11,10,14,13,5,32,20,na,10,114,73,16,0,1,33,14,0,1,2,0,16,0,0,2,11,5,40,50,0,1,6,2,4,16,4,0
01/08/2023,3,10,7,27,7,27,23,5,1,1,0,0,3,na,10,11,9,0,16,6,16,44,25,40,19,32,4,19,2,15,6,undefined,na,na,18,8,0,undefined,1,16,0,2,1,6,25,0,19,6,35,1,5,6,6,11,14,0,11,12,na,9,49,62,11,0,1,11,7,2,0,4,11,2,0,5,0,4,4,15,44,0,0,1,2,7,3,3,0
01/08/2023,4,8,2,36,24,56,30,7,9,6,1,0,4,na,16,14,23,0,3,7,6,27,0,30,21,24,6,39,5,14,12,undefined,na,na,23,22,4,undefined,1,8,0,1,1,44,46,3,16,6,9,6,4,5,9,4,9,10,19,20,na,14,55,60,9,0,13,14,4,0,0,1,0,2,0,1,1,5,1,19,27,0,0,2,5,5,7,0,0
01/08/2023,5,17,15,66,60,84,171,25,16,44,9,0,16,na,95,28,68,5,9,13,17,93,23,151,34,42,9,52,24,12,14,undefined,na,na,137,36,12,undefined,11,48,0,4,3,52,172,13,69,15,41,5,20,17,23,8,14,45,92,20,na,46,109,57,19,0,25,28,32,2,0,7,0,63,0,23,8,22,0,54,93,5,6,13,11,74,32,19,0
01/08/2023,6,83,31,143,179,263,441,139,69,280,41,8,100,na,194,93,176,53,38,30,48,276,157,512,184,134,41,158,88,33,14,undefined,na,na,480,78,13,undefined,55,176,0,22,8,158,555,26,211,51,66,16,19,56,67,39,32,349,286,109,na,100,242,66,71,0,111,93,157,11,27,20,5,105,0,31,16,99,7,199,276,34,11,31,44,366,133,70,4
01/08/2023,7,202,108,270,393,585,1168,323,250,1147,232,57,169,na,417,281,596,467,35,45,101,782,436,1011,416,213,77,453,153,74,76,undefined,na,na,1193,372,18,undefined,115,454,0,95,33,472,1009,67,496,141,86,31,57,184,252,81,90,800,779,272,na,252,508,110,167,0,312,281,331,80,85,64,32,259,0,109,62,200,48,428,782,109,38,85,128,860,421,206,89
01/08/2023,8,502,315,584,933,1206,3023,612,421,3020,387,68,234,na,810,743,1477,1410,119,116,243,1777,1119,1969,767,449,157,1054,251,165,134,undefined,na,na,2585,918,86,undefined,356,1356,0,377,108,1426,2292,295,1122,274,159,96,140,485,691,364,213,1500,1663,1159,na,760,1068,166,346,0,807,743,665,243,214,189,47,852,0,132,139,323,139,1042,1777,191,77,177,337,2509,911,577,70
01/08/2023,9,615,399,741,1059,906,1378,138,277,1811,289,50,181,na,406,730,944,785,177,110,248,1248,667,1382,474,529,184,1109,178,201,124,undefined,na,na,1527,668,102,undefined,272,942,0,486,116,888,2061,279,1119,295,163,199,194,400,782,294,207,1005,1231,1542,na,791,1105,217,304,0,632,730,806,281,195,150,49,441,0,75,119,210,75,722,1248,141,78,137,316,1416,558,326,30
