Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109
01/08/2024,0,28,29,194,46,0,102,0,0,12,5,5,16,na,45,81,26,0,123,30,0,81,26,91,13,0,18,18,21,109,31,undefined,na,na,71,19,14,undefined,8,0,27,38,15,65,35,0,83,23,87,18,50,29,22,0,38,0,0,83,na,62,0,112,89,0,72,81,29,2,0,12,18,24,0,26,0,0,2,47,81,2,2,8,23,30,29,29,0,23,4,0,0,0,0,0,0,0,0,0,54,0,1
01/08/2024,1,23,15,84,20,0,31,0,1,3,3,1,6,na,15,54,8,0,68,13,0,38,18,28,12,0,7,5,10,97,21,undefined,na,na,39,7,8,undefined,6,0,33,25,9,44,41,0,27,12,70,9,18,16,11,0,27,0,0,44,na,37,0,58,38,0,29,54,6,0,1,1,14,11,0,3,0,0,0,18,38,0,0,9,13,25,9,9,0,23,1,0,0,1,0,0,0,0,0,0,53,0,1
01/08/2024,2,16,16,53,21,0,11,0,0,4,0,2,6,na,7,24,4,0,26,21,0,27,13,29,9,0,8,9,8,70,4,undefined,na,na,17,6,4,undefined,2,0,9,9,4,17,22,0,35,6,47,2,15,18,5,0,26,0,0,31,na,7,0,36,39,0,33,24,6,0,0,5,12,42,0,3,0,0,1,12,27,1,1,0,6,13,7,10,0,14,2,1,0,0,0,0,0,0,0,0,25,0,0
01/08/2024,3,24,10,56,12,0,14,0,0,0,0,0,1,na,8,17,14,0,7,8,0,23,9,10,1,0,7,19,6,57,12,undefined,na,na,8,2,2,undefined,1,0,2,0,0,17,32,0,26,6,33,3,59,3,7,0,8,0,0,29,na,22,0,37,14,0,45,17,12,0,0,0,8,28,0,3,0,0,1,16,23,0,1,6,3,4,7,2,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0
01/08/2024,4,15,24,48,12,0,26,0,0,4,0,1,3,na,20,17,10,0,10,3,0,21,11,23,10,0,10,21,4,38,1,undefined,na,na,20,16,16,undefined,0,0,6,3,0,31,31,0,32,9,19,10,41,7,5,0,8,0,0,10,na,11,0,23,9,0,37,17,10,1,4,1,1,18,0,1,0,0,0,13,21,1,4,2,2,3,4,2,0,11,0,0,1,0,0,0,0,0,0,0,19,0,0
01/08/2024,5,16,12,64,41,0,132,0,6,63,4,2,11,na,80,33,67,0,6,13,0,87,51,185,22,0,15,63,19,17,10,undefined,na,na,114,13,8,undefined,15,0,6,5,0,57,45,0,68,31,37,4,26,12,12,0,13,0,0,40,na,39,0,29,14,0,48,33,14,0,1,1,11,59,0,15,4,0,2,39,87,5,3,2,8,55,24,18,0,17,4,0,2,0,0,0,0,0,0,0,34,0,0
01/08/2024,6,84,50,147,133,0,489,0,19,332,33,7,41,na,219,63,169,0,26,21,0,328,192,557,149,0,41,243,79,32,12,undefined,na,na,485,51,8,undefined,25,0,42,30,5,87,62,0,223,57,68,15,36,39,71,0,40,0,0,110,na,68,0,157,61,0,210,63,146,3,32,23,23,79,0,36,21,0,4,148,328,38,9,26,33,148,87,45,0,29,30,1,13,4,0,0,0,0,0,0,90,53,3
01/08/2024,7,162,94,221,223,0,1072,0,292,1216,120,34,120,na,365,269,580,241,48,48,0,805,522,1305,331,0,77,400,153,108,106,undefined,na,na,1043,186,26,undefined,96,0,81,62,41,297,99,0,347,106,133,53,50,158,225,0,127,0,0,242,na,211,0,120,161,0,596,269,255,62,86,40,19,229,0,62,61,0,26,340,805,91,38,83,92,547,245,152,7,97,194,59,98,154,119,0,0,0,0,0,238,57,221
01/08/2024,8,512,385,654,835,0,3064,0,421,2777,254,45,169,na,822,794,1338,979,109,127,0,2165,1385,2796,523,0,214,864,213,233,126,undefined,na,na,2317,424,83,undefined,232,0,472,319,165,1213,184,0,1128,223,250,108,112,460,670,0,338,0,0,1239,na,758,0,262,428,0,2243,794,579,195,258,167,48,911,0,175,141,0,127,1157,2165,227,86,206,279,1492,621,685,15,296,278,125,444,262,268,23,0,0,0,0,495,67,347
01/08/2024,9,553,349,593,745,0,1691,0,298,2293,149,32,151,na,528,808,1063,756,153,122,0,1475,906,1793,471,0,217,882,158,205,151,undefined,na,na,1519,340,90,undefined,212,0,456,402,187,713,236,0,795,258,319,191,143,382,671,0,360,0,0,1577,na,730,0,310,356,0,986,808,738,247,292,144,46,566,0,94,84,0,92,751,1475,145,86,141,259,1102,512,401,4,223,249,120,171,108,147,34,0,0,0,0,355,77,183
01/08/2024,10,823,514,828,1038,0,899,0,212,914,103,44,171,na,298,999,764,389,317,154,0,1158,539,1145,414,0,202,866,232,260,172,undefined,na,na,1107,277,110,undefined,157,0,682,462,203,674,367,0,729,349,426,206,174,350,794,0,390,0,0,2015,na,891,0,419,479,0,723,999,671,265,253,139,57,309,0,84,113,0,53,492,1158,121,93,264,217,467,260,252,5,222,407,46,56,63,124,62,0,0,0,0,200,87,135
01/08/2024,11,1164,794,1366,1584,0,1024,0,293,579,172,61,225,na,410,1424,604,354,494,296,0,1413,550,1119,528,0,293,981,415,340,177,undefined,na,na,1224,373,161,undefined,178,0,883,406,174,888,464,0,997,419,518,333,200,461,1104,0,444,0,0,2303,na,955,0,465,520,0,950,1424,831,267,293,206,56,503,0,97,143,0,61,569,1413,161,96,195,236,364,248,327,6,184,434,67,54,108,122,41,0,0,0,0,239,89,207
01/08/2024,12,2189,1472,2426,2397,0,1393,0,672,1318,335,127,333,na,436,2318,1359,528,905,562,0,1907,1037,1519,900,0,310,1031,476,775,330,undefined,na,na,2248,758,292,undefined,373,0,1060,673,344,1438,700,0,1587,659,837,402,255,785,1642,0,667,0,0,3382,na,1442,0,498,1135,0,1311,2318,1084,436,398,347,40,473,0,145,173,0,97,779,1907,221,176,370,368,470,430,419,15,379,807,155,89,147,172,81,0,0,0,0,337,118,340
01/08/2024,13,2471,1481,2301,2513,0,1587,0,512,974,207,112,353,na,459,2455,1253,552,1002,483,0,2093,852,1461,960,0,422,1109,536,818,327,undefined,na,na,2220,683,322,undefined,317,0,1135,600,298,1546,642,0,1807,713,909,383,289,966,1529,0,792,0,0,2614,na,1267,0,617,1124,0,1537,2455,1067,473,406,328,66,484,0,133,126,0,106,712,2093,162,183,266,499,646,381,434,21,307,867,84,137,205,218,74,0,0,0,0,288,70,350
01/08/2024,14,2050,1144,2426,2300,0,1397,0,384,867,136,89,298,na,472,2528,772,401,838,431,0,1957,537,1444,972,0,307,1061,553,612,273,undefined,na,na,1743,422,169,undefined,224,0,1011,650,297,1419,669,0,1704,586,685,341,226,766,1228,0,630,0,0,3266,na,1213,0,603,723,0,1561,2528,982,311,340,252,39,521,0,110,122,0,60,741,1957,128,125,206,274,443,298,359,12,199,661,73,96,178,201,39,0,0,0,0,315,79,232
01/08/2024,15,2130,1099,2295,2382,1562,1593,0,448,1044,162,75,224,na,531,2748,679,420,881,421,0,2252,579,1767,1010,0,340,1064,514,608,259,undefined,na,na,1789,441,230,undefined,155,0,915,664,308,1524,614,0,1746,520,571,349,211,666,1097,0,656,0,0,2530,na,1169,0,602,737,0,1571,2748,928,246,332,330,23,414,0,116,141,0,112,834,2252,242,121,248,259,361,370,357,14,246,548,113,90,129,207,30,0,0,0,0,324,103,223
01/08/2024,16,2017,1030,2522,2150,1735,2274,0,518,2368,209,117,379,na,815,3081,667,512,936,464,0,2598,811,2605,1151,0,287,1197,620,618,255,undefined,na,na,2270,408,249,undefined,187,0,1076,818,281,1657,642,0,1997,361,479,349,173,697,1228,0,662,0,0,2954,na,1296,0,641,737,0,1942,3081,847,213,280,455,39,636,0,119,135,0,144,950,2598,165,98,178,228,523,533,497,19,275,570,146,170,175,258,21,0,0,0,0,460,148,330
01/08/2024,17,2327,1200,2865,2277,2063,3580,0,636,2913,251,121,460,na,1323,3569,959,408,1081,641,0,3217,1268,3256,1266,0,310,1433,695,781,317,undefined,na,na,3201,613,275,undefined,227,0,1108,775,378,2037,661,0,2390,369,598,386,158,863,1427,0,880,0,0,2842,na,1367,0,729,842,0,2594,3569,1144,203,265,560,38,1028,0,145,129,0,98,1236,3217,225,132,222,349,683,582,779,14,328,582,133,264,252,278,23,0,0,0,0,374,201,320
01/08/2024,18,1667,754,2857,1446,1304,2149,0,260,1243,112,60,377,na,670,2850,473,9,1338,774,0,2374,680,1927,855,0,312,934,398,906,379,undefined,na,na,2375,465,318,undefined,173,0,658,511,110,1572,611,0,1819,340,565,346,157,697,847,0,861,0,0,2150,na,1041,0,625,622,0,1507,2850,895,124,160,607,29,572,0,67,89,0,21,895,2374,128,108,222,247,260,409,405,1,189,271,16,115,9,0,0,0,0,0,0,331,198,1
01/08/2024,19,1175,518,2265,983,738,1289,0,74,358,60,32,247,na,396,2283,218,3,1186,672,0,1573,379,1166,423,0,207,689,249,737,346,undefined,na,na,1376,271,126,undefined,81,0,400,290,81,1221,390,0,1287,273,407,390,114,582,491,0,652,0,0,1395,na,707,0,475,516,0,1051,2283,752,98,77,274,15,323,0,24,64,0,23,521,1573,78,72,132,163,178,169,230,0,155,238,8,39,3,0,0,0,0,0,0,222,135,1
01/08/2024,20,831,374,2034,683,462,1060,0,86,244,46,56,207,na,341,2030,175,4,1064,582,0,1345,330,835,263,0,181,334,152,648,373,undefined,na,na,1215,252,0,undefined,96,0,220,207,81,904,274,0,1055,180,334,354,83,485,274,0,615,0,0,1124,na,520,0,433,460,0,636,2030,542,68,34,503,9,209,0,19,23,0,14,437,1345,45,92,121,126,119,204,182,0,146,163,5,27,0,0,0,0,0,0,0,192,85,0
01/08/2024,21,428,219,1784,566,571,940,0,42,122,19,32,158,na,282,1500,139,3,831,624,0,1189,229,815,223,0,103,481,166,636,230,undefined,na,na,1060,239,0,undefined,45,0,191,194,67,1011,217,0,815,146,318,201,70,405,446,0,515,0,0,605,na,586,0,435,461,0,915,1500,499,42,28,159,7,185,0,29,12,0,2,348,1189,18,36,57,129,117,162,123,0,117,128,10,23,1,0,0,0,0,0,0,182,51,1
01/08/2024,22,223,126,1162,404,490,591,0,24,121,16,22,97,na,222,755,178,1,466,338,0,821,221,662,167,0,93,487,92,459,161,undefined,na,na,669,100,83,undefined,37,0,120,80,31,470,189,0,536,125,248,93,57,220,197,0,318,0,0,435,na,257,0,239,253,0,585,755,249,20,15,141,9,142,0,19,5,0,8,353,821,11,8,32,86,60,72,86,0,92,82,0,17,0,0,1,0,0,0,0,156,24,0
01/08/2024,23,111,71,670,155,108,289,0,12,35,8,10,25,na,127,249,50,1,307,194,0,323,100,360,65,0,44,48,29,274,78,undefined,na,na,289,55,67,undefined,29,0,37,37,17,232,77,0,280,52,140,31,29,144,83,0,134,0,0,220,na,112,0,195,162,0,220,249,116,7,6,83,1,41,0,15,4,0,3,159,323,15,7,30,45,43,70,35,0,64,19,0,8,2,0,0,0,0,0,0,68,2,0
02/08/2024,0,53,52,295,70,34,103,0,3,18,1,0,14,na,45,95,43,0,167,120,0,130,44,130,39,0,27,21,30,248,27,undefined,na,na,105,28,29,undefined,6,0,13,19,6,84,51,0,127,40,108,4,14,75,25,0,80,0,0,105,na,74,0,122,113,0,64,95,36,1,6,4,14,18,0,15,1,0,4,71,130,0,0,3,24,26,42,30,0,33,8,0,0,0,0,0,0,0,0,0,73,0,0
02/08/2024,1,20,33,205,42,16,35,0,0,1,0,0,9,na,14,84,18,0,111,103,0,89,24,50,11,0,21,11,27,131,12,undefined,na,na,27,23,7,undefined,13,0,22,9,2,49,37,0,107,28,75,11,19,44,18,0,38,0,0,50,na,37,0,60,73,0,45,84,17,2,1,5,11,14,0,8,1,0,3,31,89,1,1,6,13,14,21,20,0,28,1,0,2,0,0,0,0,0,0,0,40,0,0
02/08/2024,2,16,8,105,35,24,17,0,0,2,5,0,5,na,15,28,12,0,48,38,0,31,16,42,9,0,9,10,12,47,7,undefined,na,na,18,14,5,undefined,1,0,5,4,0,34,28,0,54,19,27,6,9,10,10,0,24,0,0,53,na,23,0,46,41,0,81,28,14,0,1,2,2,37,0,3,0,0,0,17,31,0,1,19,10,7,4,9,0,16,2,0,0,0,0,0,0,0,0,0,25,0,0
02/08/2024,3,10,9,60,16,19,8,0,1,1,0,2,7,na,3,14,12,0,29,45,0,32,18,36,0,0,4,17,10,55,2,undefined,na,na,11,9,3,undefined,5,0,12,9,2,58,22,0,50,3,41,6,10,15,4,0,11,0,0,13,na,11,0,17,15,0,24,14,4,0,7,2,1,8,0,4,0,0,2,33,32,0,0,1,7,9,3,5,0,22,1,0,0,0,0,0,0,0,0,0,33,0,0
02/08/2024,4,18,12,68,23,14,39,0,2,9,8,0,3,na,27,26,16,0,14,59,0,38,5,43,6,0,4,29,9,56,12,undefined,na,na,17,14,12,undefined,3,0,8,7,0,19,43,0,57,7,26,12,10,9,4,0,22,0,0,12,na,22,0,17,18,0,31,26,10,0,1,1,1,8,0,3,1,0,1,19,38,2,1,2,4,5,9,5,0,18,5,0,0,0,0,0,0,0,0,0,21,1,0
02/08/2024,5,16,9,58,35,35,150,0,8,62,25,1,8,na,63,37,80,1,16,23,0,89,39,168,31,0,18,39,23,22,4,undefined,na,na,123,15,10,undefined,10,0,10,2,1,34,23,0,74,23,43,6,19,10,14,0,16,0,0,42,na,32,0,51,17,0,69,37,27,0,30,9,19,21,0,10,0,0,0,51,89,6,0,16,13,52,20,21,0,17,8,0,1,0,0,0,0,0,0,0,34,2,0
02/08/2024,6,82,54,119,139,136,418,0,22,259,28,9,51,na,174,72,159,12,23,14,0,272,182,466,121,0,52,184,106,40,9,undefined,na,na,387,36,11,undefined,33,0,45,42,4,107,68,0,215,78,84,15,14,37,43,0,28,0,0,122,na,64,0,224,59,0,249,72,132,2,19,15,16,73,0,43,17,0,5,148,272,45,12,17,25,131,90,53,1,32,43,7,12,7,1,0,0,0,0,0,91,56,7
