Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109
01/07/2024,0,39,36,154,58,73,109,0,1,7,2,4,41,na,36,94,13,0,76,36,0,110,31,120,29,0,27,24,8,183,26,undefined,na,na,130,39,15,undefined,8,10,19,5,1,85,66,11,115,42,87,16,13,75,15,27,54,0,106,60,na,43,0,55,58,0,48,94,19,1,0,7,16,28,0,0,1,8,15,57,110,1,1,4,17,18,37,49,0,38,19,0,11,0,0,0,0,0,0,0,54,0,0
01/07/2024,1,21,7,97,29,28,28,0,3,2,2,0,19,na,25,48,8,0,54,20,0,38,33,37,20,0,7,7,14,92,10,undefined,na,na,28,28,6,undefined,0,5,8,1,0,26,54,5,84,11,85,1,16,20,24,28,21,0,43,41,na,31,0,25,19,0,25,48,19,1,4,3,2,31,0,0,9,0,1,14,38,1,1,1,4,8,11,37,0,17,0,0,3,0,0,0,0,0,0,0,38,0,0
01/07/2024,2,17,12,59,21,20,22,0,0,5,0,0,7,na,7,47,7,0,36,5,0,22,8,21,5,0,5,8,3,72,2,undefined,na,na,23,8,7,undefined,0,4,3,1,1,19,30,5,42,6,46,0,7,16,5,11,23,0,32,35,na,25,0,27,17,0,16,47,10,0,5,2,1,3,0,0,1,0,1,14,22,0,0,2,3,11,4,6,0,16,1,0,1,0,0,0,0,0,0,0,18,0,0
01/07/2024,3,9,2,64,17,15,21,0,0,4,2,0,4,na,5,17,3,0,15,6,0,33,13,27,5,0,5,12,6,78,28,undefined,na,na,11,7,7,undefined,1,1,3,0,0,27,38,6,24,4,10,6,1,9,13,7,12,0,16,22,na,4,0,11,11,0,14,17,4,1,0,3,0,3,0,0,0,0,1,18,33,0,1,6,5,3,10,6,0,19,2,0,0,0,0,0,0,0,0,0,10,0,0
01/07/2024,4,14,12,64,15,26,39,0,0,7,0,0,4,na,32,20,22,0,4,5,0,32,12,24,5,0,2,22,15,62,9,undefined,na,na,32,65,9,undefined,7,8,5,3,0,27,55,2,34,4,14,11,10,9,16,5,12,0,31,22,na,18,0,33,16,0,18,20,7,1,6,1,3,5,0,0,0,0,1,23,32,4,3,2,0,8,6,4,0,27,0,0,2,0,0,0,0,0,0,0,25,0,0
01/07/2024,5,17,10,85,48,45,169,0,5,75,7,0,11,na,75,28,81,0,21,12,0,84,54,157,30,0,12,37,26,55,17,undefined,na,na,111,29,11,undefined,14,11,2,0,0,46,24,6,73,9,23,6,21,12,10,13,21,0,108,24,na,33,0,32,14,0,30,28,20,1,5,4,3,30,0,2,3,0,4,52,84,9,5,5,12,63,26,9,0,12,3,0,2,0,0,0,0,0,0,0,25,0,0
01/07/2024,6,86,59,131,140,155,439,0,31,366,11,3,33,na,199,82,146,1,27,12,0,336,196,590,105,0,19,154,69,27,12,undefined,na,na,406,54,8,undefined,20,70,32,39,9,91,83,18,214,29,76,6,21,43,58,31,48,0,268,80,na,86,0,160,51,0,116,82,157,5,17,19,12,93,0,0,18,0,5,141,336,35,16,27,16,176,112,29,0,33,21,0,11,2,0,0,0,0,0,0,116,54,0
01/07/2024,7,139,72,175,196,462,863,0,227,975,99,28,149,na,280,241,396,178,36,44,0,690,538,1199,242,0,43,370,103,91,44,undefined,na,na,837,139,20,undefined,92,143,43,64,23,239,43,39,296,59,103,31,31,144,184,45,87,0,723,190,na,152,0,111,109,0,403,241,254,32,83,51,40,191,0,68,48,118,16,281,690,59,32,45,79,528,231,132,7,101,121,43,90,84,61,2,0,0,0,0,253,44,118
01/07/2024,8,348,247,420,559,964,2464,0,450,2287,207,54,263,na,623,589,1134,998,96,75,0,1624,1193,2379,535,0,109,752,188,155,85,undefined,na,na,2006,387,77,undefined,218,466,184,166,104,572,156,130,712,141,189,135,102,423,550,124,228,0,1698,411,na,378,0,123,268,0,1177,589,525,146,248,119,43,634,0,85,112,191,91,628,1624,124,60,129,245,1772,642,429,10,176,261,60,350,208,158,11,0,0,0,0,524,99,280
01/07/2024,9,584,331,449,764,863,1163,0,268,1384,164,61,257,na,352,603,768,562,153,128,0,1239,570,1383,449,0,155,734,225,212,128,undefined,na,na,1230,325,87,undefined,213,352,173,178,71,516,209,160,688,190,249,196,126,316,610,133,314,0,1091,437,na,399,0,178,290,0,850,603,650,234,299,140,59,338,0,75,128,122,77,562,1239,148,77,105,227,754,322,312,12,173,229,79,89,122,128,15,0,0,0,0,340,83,146
