Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry
01/06/2023,0,58,48,322,136,127,128,17,3,9,5,2,21,na,0,117,25,3,77,39,129,147,35,132,67,160,30,35,30,163,28,undefined,na,na,131,26,16,undefined,4,21,35,20,8,75,212,31,142,59,108,8,57,57,37,85,43,23,100,129,na,76,358,123,0,0,55,117,48,1,2,2,5,68,0,3,2,16,3,116,147,1,7,2,15,56,38,28,undefined
01/06/2023,1,27,17,168,48,50,34,3,1,8,3,0,9,na,0,52,8,3,43,18,71,54,13,61,12,96,21,15,28,91,12,undefined,na,na,34,32,9,undefined,6,11,31,14,0,44,108,11,63,30,71,9,22,32,14,47,17,5,33,59,na,42,268,66,0,0,31,52,28,0,7,7,6,27,0,6,1,6,3,38,54,2,0,0,5,17,19,21,undefined
01/06/2023,2,30,16,98,29,54,25,2,2,4,1,1,5,na,0,37,19,0,9,6,25,57,6,26,29,64,5,19,7,66,4,undefined,na,na,30,10,1,undefined,6,8,1,0,0,17,48,9,45,9,41,0,14,20,5,34,19,4,25,56,na,27,135,65,0,0,10,37,5,0,1,0,3,22,0,1,0,4,0,29,57,4,0,4,5,12,15,3,undefined
01/06/2023,3,7,16,102,22,37,20,1,6,3,0,1,5,na,0,9,9,1,17,5,25,44,6,29,3,37,8,23,1,31,16,undefined,na,na,18,6,6,undefined,4,8,1,1,2,15,48,7,35,10,24,7,12,16,7,9,20,9,8,24,na,19,85,66,4,0,7,9,3,0,3,1,0,40,0,0,0,1,0,35,44,0,0,2,8,7,1,3,undefined
01/06/2023,4,3,16,36,23,36,40,2,1,6,2,0,6,na,0,21,19,1,20,2,23,35,10,26,6,27,8,26,1,15,15,undefined,na,na,25,7,4,undefined,0,9,5,3,1,17,70,3,29,9,20,3,4,7,7,4,3,6,14,12,na,12,57,44,4,0,12,21,6,0,0,3,6,15,0,1,0,4,0,26,35,1,1,2,2,6,5,6,undefined
01/06/2023,5,21,12,64,57,85,158,28,14,47,13,0,11,na,0,28,60,22,10,15,17,81,38,162,30,55,9,48,16,23,19,undefined,na,na,107,12,9,undefined,9,28,14,8,1,43,161,13,50,20,17,6,13,19,15,16,22,56,96,27,na,32,110,42,0,0,24,28,31,0,5,6,8,56,0,2,4,12,2,81,81,5,2,11,7,99,27,14,undefined
01/06/2023,6,82,41,154,130,273,429,102,35,258,53,18,63,na,0,99,160,101,32,16,56,313,178,535,188,136,25,179,89,55,24,undefined,na,na,487,56,6,undefined,42,83,30,19,13,92,478,23,143,50,49,12,34,57,55,34,31,348,294,142,na,113,250,88,0,0,78,99,152,12,29,16,10,114,0,44,15,71,5,198,313,36,5,30,35,330,115,72,undefined
01/06/2023,7,213,110,247,404,605,1091,242,240,995,189,58,107,na,0,231,503,418,51,31,108,748,481,1045,414,198,80,465,148,96,60,undefined,na,na,1167,163,36,undefined,114,218,55,62,36,221,916,52,454,124,57,44,39,156,267,42,79,746,729,275,na,243,448,85,140,0,298,231,309,90,68,61,47,258,0,75,75,161,29,379,748,106,18,51,114,217,341,164,undefined
01/06/2023,8,467,330,483,863,1189,2893,495,369,2910,379,48,198,na,0,702,1520,1331,101,101,259,1725,1111,2054,647,415,167,855,211,246,110,undefined,na,na,2577,437,97,undefined,329,532,164,160,65,551,2150,166,1119,258,80,113,120,461,692,162,191,1746,1744,632,na,558,923,152,347,0,791,702,675,210,287,178,51,809,0,128,116,321,105,1109,1725,160,102,194,297,390,830,566,undefined
01/06/2023,9,641,391,599,1016,845,1447,275,277,1590,274,57,198,na,0,650,960,783,140,83,291,1247,680,1237,625,471,146,682,261,229,134,undefined,na,na,1368,409,94,undefined,265,417,184,184,65,476,1921,178,994,339,112,170,126,371,652,148,212,1019,1060,728,na,471,928,210,309,0,565,650,801,293,262,127,61,554,0,111,137,210,70,754,1247,133,66,154,259,366,567,405,undefined
