Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109
01/06/2024,0,139,64,802,725,220,452,32,13,38,23,11,37,na,0,348,22,1,445,396,495,371,102,306,159,0,39,44,57,557,105,undefined,na,na,444,241,63,undefined,32,50,43,43,13,296,611,14,278,41,173,32,28,271,77,105,202,0,349,184,na,117,0,145,17,0,196,348,101,6,7,19,13,134,0,22,2,1,5,249,371,3,4,14,39,35,65,78,0,130,42,0,10,1,5,0,0,0,0,0,209,undefined,undefined
01/06/2024,1,91,54,502,245,114,218,259,5,20,6,0,14,na,0,192,39,0,200,202,308,225,37,184,71,0,21,36,31,373,44,undefined,na,na,262,224,35,undefined,10,16,36,33,16,226,392,10,187,26,120,19,35,155,56,46,147,0,242,139,na,87,0,94,121,0,114,192,62,0,5,15,5,40,0,10,0,13,4,172,225,2,6,18,20,15,30,81,0,97,23,1,5,0,0,0,0,0,0,0,123,undefined,undefined
01/06/2024,2,37,48,321,166,103,142,8,2,12,5,0,10,na,0,92,23,1,136,188,215,180,34,87,31,0,32,32,13,286,15,undefined,na,na,141,161,10,undefined,12,10,10,9,4,138,314,20,145,27,71,6,26,107,42,36,91,0,134,104,na,59,0,70,176,0,57,92,75,1,8,5,16,26,0,4,1,5,3,133,180,0,3,5,18,12,13,21,0,56,6,0,3,0,0,0,0,0,2,0,132,undefined,undefined
01/06/2024,3,54,56,253,92,50,84,13,2,8,5,6,11,na,0,68,16,1,103,53,132,119,37,70,27,0,14,26,22,210,13,undefined,na,na,75,233,17,undefined,4,6,7,5,1,88,188,5,102,16,59,13,17,85,16,21,36,0,89,77,na,23,0,32,144,0,47,68,34,2,5,2,6,15,0,4,0,7,3,76,119,0,0,7,20,12,15,9,0,69,7,1,1,0,0,0,0,0,0,0,85,undefined,undefined
01/06/2024,4,9,15,105,55,31,71,7,3,7,3,0,6,na,0,30,13,0,33,24,72,66,20,51,16,0,7,12,7,143,12,undefined,na,na,58,15,3,undefined,10,6,5,0,0,47,132,2,47,12,36,3,22,20,10,10,59,0,23,38,na,22,0,40,47,0,14,30,8,1,5,5,12,6,0,7,0,0,1,50,66,0,1,4,5,5,6,15,0,56,4,0,0,0,0,0,0,0,2,0,66,undefined,undefined
01/06/2024,5,9,19,76,51,41,98,17,12,6,4,2,9,na,0,34,40,0,19,18,37,57,49,83,39,0,11,31,44,86,14,undefined,na,na,65,12,9,undefined,11,17,12,2,2,39,148,6,66,41,70,12,8,19,8,19,41,0,54,39,na,24,0,35,24,0,12,34,10,0,3,1,13,25,0,2,0,2,1,58,57,2,0,4,8,13,17,13,0,26,9,0,1,0,0,0,0,0,0,0,63,undefined,undefined
01/06/2024,6,33,22,79,72,58,147,50,13,77,6,3,22,na,0,46,58,0,15,23,55,112,138,186,87,0,31,55,62,67,26,undefined,na,na,203,33,4,undefined,7,15,21,28,10,45,246,18,74,49,72,15,23,19,14,12,35,0,108,70,na,49,0,84,17,0,29,46,54,5,17,7,11,39,0,17,10,10,2,91,112,5,2,3,14,27,21,41,0,30,24,2,4,1,0,0,0,0,0,0,163,undefined,undefined
01/06/2024,7,71,56,123,152,139,316,99,90,46,8,23,69,na,0,83,91,21,30,42,63,220,238,239,256,0,55,74,86,84,33,undefined,na,na,439,30,24,undefined,50,43,34,39,27,72,292,18,120,87,114,36,41,29,52,32,44,0,193,134,na,73,0,70,80,0,87,83,104,22,27,30,4,57,0,29,31,69,10,101,220,20,14,30,41,53,39,76,6,46,169,5,11,57,28,10,0,0,0,0,491,undefined,undefined
01/06/2024,8,233,90,253,397,309,539,217,131,167,38,30,93,na,0,176,182,85,55,44,106,560,382,585,520,0,169,212,169,104,58,undefined,na,na,769,121,31,undefined,81,66,44,54,38,171,634,34,292,234,246,75,65,101,209,43,126,0,355,187,na,170,0,56,86,0,196,176,268,79,84,82,11,113,0,47,55,90,57,247,560,82,49,85,59,93,98,94,21,124,317,8,47,176,87,17,0,0,1,0,935,undefined,undefined
01/06/2024,9,586,299,439,954,711,865,236,217,154,74,46,148,na,0,441,173,100,155,96,215,1105,703,747,968,0,336,402,259,212,125,undefined,na,na,1156,146,74,undefined,141,156,85,98,64,360,1327,66,588,476,556,195,133,160,499,80,241,0,570,318,na,299,0,136,220,0,332,441,560,222,283,183,4,161,0,44,126,152,92,387,1105,141,110,169,121,150,136,190,24,195,441,16,37,152,136,23,0,3,0,0,1501,undefined,undefined
